category,subcategory,subsubcategory,sku,suppliers
"Аксессуары для путешествий","Аксессуары для путешествий","otdyh","63","midocean"
"Аксессуары для путешествий","Аксессуары для путешествий","sumki","44","midocean"
"Аксессуары для путешествий","Аксессуары для путешествий","Товары для путешествий","12","art24"
"Свечи и подсвечники","Для дома / Декор","Свечи и подсвечники","114","midocean|oasis"
"Кастом360","Коллекции / Кастом360","Кастом360","111","oasis"
"Солнцезащитные очки","Личные аксессуары / Очки","Солнцезащитные очки","111","midocean|oasis"
"Банные принадлежности","Личные аксессуары / Банные принадлежности","Банные принадлежности","101","midocean|oceangifts"
"Банные принадлежности","Личные аксессуары / Банные принадлежности","Распродажа / Отдых и путешествие","1","oceangifts"
"Банные принадлежности","Личные аксессуары / Банные принадлежности","Отдых / Пляжные принадлежности","1","oceangifts"
"Контейнеры для еды","Кухня и посуда / Контейнеры для еды","Контейнеры для еды","56","oasis"
"Контейнеры для еды","Кухня и посуда / Контейнеры для еды","Ланчбоксы (контейнеры для еды)","44","art24"
"Силиконовые составляющие","Элементы кастомизации|Силиконовые составляющие","Силиконовые составляющие","96","art24"
"Прочая упаковка","Упаковка / Прочая упаковка","Прочая упаковка","95","oasis"
"Уютная атмосфера дома","Коллекции / Товары для удалённой работы","Уютная атмосфера дома","94","oasis"
"Бамбуковая серия","Коллекции / Серии","Бамбуковая серия","92","oasis"
"Кофер металлик EDGE CO12m (медный)","Кофер металлик EDGE CO12m (медный)","(без подподкатегории)","90","topcatalog"
"Рабочая одежда","Одежда / Профессиональная одежда","Рабочая одежда","90","oasis"
"Для учебы и творчества","Товары для детей / Для учебы и творчества","Для учебы и творчества","89","oasis"
"Декор","Для дома / Декор","Декор","88","art24"
"Бальзам для губ","Бальзам для губ","uhod","78","midocean"
"Часы","Офисные аксессуары / Часы","Настенные часы","30","oasis"
"Часы","Офисные аксессуары / Часы","Настольные часы","17","oasis"
"Часы","Мужские аксессуары / Часы наручные мужские","Часы наручные мужские","15","oasis"
"Часы","Женские аксессуары / Часы наручные женские","Часы наручные женские","10","oasis"
"Часы","Мужские аксессуары / Шкатулки для часов","Шкатулки для часов","1","oasis"
"Инструменты","Для дома / Инструменты и мультитулы","Инструменты","69","midocean|oasis|oceangifts"
"Ревайвер (Reviver)","Коллекции / Серии","Ревайвер (Reviver)","69","oasis"
"Красота и стиль","Дом|Красота и стиль","Красота и стиль","66","art24"
"Визитницы и ключницы","Личные аксессуары / Визитницы и ключницы","Визитницы и ключницы","64","oasis"
"Ароматы для дома","Для дома / Декор","Ароматы для дома","63","oasis"
"Аксессуары для алкогольных напитков","Аксессуары для алкогольных напитков","elektronika","62","midocean"
"Фабрицио (Fabrizio)","Коллекции / Серии","Фабрицио (Fabrizio)","62","oasis"
"Надувные подушки","Для путешествий / Для самолетов и поездов","Надувные подушки","60","midocean|oasis"
"Пришивные патчи","Кастомизация / Пришивные патчи","Пришивные патчи","60","oasis"
"Шапки","Одежда / Зимние аксессуары","Шапки","60","oasis"
"Обеденный перерыв","Коллекции / Товары для удалённой работы","Обеденный перерыв","58","oasis"
"Кошельки и монетницы","Личные аксессуары / Кошельки и монетницы","Кошельки и монетницы","52","midocean|oasis"
"Кошельки и монетницы","Личные аксессуары / Кошельки и монетницы","Финальная цена / VIP-подарки","2","oceangifts"
"Кошельки и монетницы","Личные аксессуары / Кошельки и монетницы","Промосувениры / Промопродукция","1","oceangifts"
"Новогодние украшения","Новогодние подарки / Новогодние украшения","Новогодние украшения","55","art24"
"Кухня и посуда","Коллекции / Товары для лета","Кухня и посуда","51","oasis"
"Подвески","Для дома / Декор","Подвески","51","oasis"
"Чехлы и футляры для карт","Корпоративные подарки|Чехлы и футляры для карт","Чехлы и футляры для карт","51","art24"
"Платки","Женские аксессуары / Платки","Платки","50","oasis"
"Фартуки","Кухня и посуда / Аксессуары для кухни","Фартуки","50","oasis"
"Одежда для медицины и салонов красоты","Одежда / Профессиональная одежда","Одежда для медицины и салонов красоты","49","oasis"
"Товары для детей","Коллекции / Товары для удалённой работы","Товары для детей","25","oasis"
"Товары для детей","Коллекции / Товары для удалённой работы","Автотовары","11","art24"
"Товары для детей","Товары для детей","tovary-dlya-detej","4","oceangifts"
"Товары для детей","Товары для детей","Промосувениры / Товары для детей","3","oceangifts"
"Товары для детей","Товары для детей","Посуда / Бутылки для воды","3","oceangifts"
"Товары для детей","Товары для детей","Отдых / Дорожные наборы","1","oceangifts"
"Товары для детей","Товары для детей","Отдых / Игры и спорт","1","oceangifts"
"Товары для детей","Товары для детей","Промосувениры / Антистрессы и игры","1","oceangifts"
"Портмоне","Мужские аксессуары / Портмоне","Портмоне","45","oasis"
"Портмоне","Мужские аксессуары / Портмоне","Аксессуары / Портфели, папки и портмоне","2","oceangifts"
"Пакеты и мешочки","Упаковка|Пакеты и мешочки","Пакеты и мешочки","46","art24"
"Аксессуары для вина","Кухня и посуда / Аксессуары для вина","Аксессуары для вина","44","art24"
"Деловые подарки","Деловые подарки","(без подподкатегории)","44","oasis"
"Фонари","Автомобильные аксессуары / Фонари","Фонари","42","oasis"
"Фонари","Автомобильные аксессуары / Фонари","Финальная цена / Посуда","1","oceangifts"
"Мёд и варенье","Съедобные подарки / Мёд и варенье","Мёд и варенье","41","oasis"
"Шильды и бирки","Элементы кастомизации|Шильды и бирки","Шильды и бирки","40","art24"
"Гигиенические помады","Личные аксессуары / Гигиенические средства","Гигиенические помады","39","oasis"
"Лампы","Для дома / Декор","Лампы","39","art24|oasis"
"Настольные приборы","Деловые подарки / Настольные приборы","Настольные приборы","37","midocean|oasis"
"Настольные приборы","Деловые подарки / Настольные приборы","Финальная цена / Офис","2","oceangifts"
"Одноразовая БИО посуда","Посуда|Одноразовая БИО посуда","Одноразовая БИО посуда","39","art24"
"Товары с подсветкой логотипа","Коллекции / Товары с подсветкой логотипа","Товары с подсветкой логотипа","39","oasis"
"834","834","obrazczy-s-naneseniem","37","oceangifts"
"Аксессуары для кухни","Кухня и посуда / Аксессуары для кухни","Аксессуары для кухни","34","art24"
"Аксессуары для кухни","Кухня и посуда / Аксессуары для кухни","Дом / Кухонные аксессуары","3","oceangifts"
"Женские портмоне","Женские аксессуары / Женские портмоне","Женские портмоне","37","oasis"
"Растения","Для дома / Декор","Растения","37","oasis"
"Кредитницы","Мужские аксессуары / Портмоне","Кредитницы","34","oasis"
"Коробка Coffee Box (белый)","Коробка Coffee Box (белый)","(без подподкатегории)","32","topcatalog"
"Ароматические свечи","Для дома / Декор","Ароматические свечи","24","oasis"
"Ароматические свечи","Для дома / Декор","Арома","7","art24"
"Сеты","Маркетинговая поддержка|Сеты","Сеты","30","art24"
"Багажные бирки","Для путешествий / Для самолетов и поездов","Багажные бирки","29","oasis"
"Зеркала","Женские аксессуары / Зеркала","Зеркала","29","midocean|oasis"
"Переходники для техники","Для путешествий / Аксессуары для путешествий","Переходники для техники","29","oasis"
"Водонепроницаемые контейнеры","Для путешествий / Для активных путешествий","Водонепроницаемые сумки","20","art24"
"Водонепроницаемые контейнеры","Для путешествий / Для активных путешествий","Водонепроницаемые контейнеры","8","oasis"
"Карабин-кольцо Ring для обвеса, d=3,2см (чёрный никель)","Карабин-кольцо Ring для обвеса, d=3,2см (чёрный никель)","(без подподкатегории)","28","topcatalog"
"Маски для сна","Для путешествий / Для самолетов и поездов","Маски для сна","28","oasis"
"Ремувка 4sb flat с полукольцом (чёрный)","Ремувка 4sb flat с полукольцом (чёрный)","(без подподкатегории)","28","topcatalog"
"Товары для дома","Коллекции / Товары для лета","Товары для дома","13","oasis|oceangifts"
"Товары для дома","Коллекции / Товары для лета","Финальная цена / Товары для дома","3","oceangifts"
"Товары для дома","Коллекции / Товары для лета","Дом / Скульптуры","3","oceangifts"
"Товары для дома","Коллекции / Товары для лета","Отдых / Пледы","3","oceangifts"
"Товары для дома","Коллекции / Товары для лета","Дом / Шкатулки","2","oceangifts"
"Товары для дома","Коллекции / Товары для лета","Дом / Фоторамки и фотоальбомы","1","oceangifts"
"Товары для дома","Коллекции / Товары для лета","Промосувениры / Промопродукция","1","oceangifts"
"Товары для дома","Коллекции / Товары для лета","Отдых / Сумки и кулеры","1","oceangifts"
"Товары для дома","Коллекции / Товары для лета","Дом / Инструменты","1","oceangifts"
"Обвес Мысль (черный с белым)","Обвес Мысль (черный с белым)","(без подподкатегории)","27","topcatalog"
"Органайзеры для документов","Личные аксессуары / Органайзеры для документов","Органайзеры для документов","27","oasis"
"Сладости и орехи","Съедобные подарки / Сладости и орехи","Сладости и орехи","27","oasis"
"Рулетки","Для дома / Инструменты и мультитулы","Рулетки","26","oasis"
"Упаковка для ручек","Пишущие инструменты / Упаковка для ручек","Упаковка для ручек","25","art24|oceangifts"
"Аксессуары для детей","Товары для детей / Аксессуары для детей","Аксессуары для детей","24","midocean|oasis"
"Повязки на голову","Одежда / Головные уборы","Повязки на голову","24","oasis"
"Тарелки","Кухня и посуда / Посуда","Тарелки","24","oasis"
"Чайные пары","Кухня и посуда / Аксессуары для чая и кофе","Чайные пары","24","art24|oasis"
"VIP-подарки","Скульптуры | Дом / Скульптуры | Финальная цена","Дом / Скульптуры","12","oceangifts"
"VIP-подарки","Шкатулки | Дом / Шкатулки | Финальная цена","Дом / Шкатулки","6","oceangifts"
"VIP-подарки","Иконы | Финальная цена / VIP-подарки","Финальная цена / VIP-подарки","2","oceangifts"
"VIP-подарки","Картины | Финальная цена / VIP-подарки","Финальная цена / VIP-подарки","2","oceangifts"
"VIP-подарки","Скульптуры | Финальная цена / VIP-подарки","Финальная цена / VIP-подарки","1","oceangifts"
"VIP-подарки","Фоторамки и фотоальбомы | Дом / Фоторамки и фотоальбомы | Финальная цена","Дом / Фоторамки и фотоальбомы","1","oceangifts"
"Рефлектор","Коллекции / Серии","Рефлектор","23","oasis"
"Автомобильные аксессуары","Автомобильные аксессуары","podarki","22","midocean"
"Кофе и чай","Съедобные подарки / Кофе и чай","Кофе и чай","22","oasis"
"Крышка для кофера СО12 с клапаном (прозрачный)","Крышка для кофера СО12 с клапаном (прозрачный)","(без подподкатегории)","22","topcatalog"
"Шляпы","Одежда / Головные уборы","Шляпы","21","oasis"
"Аксессуары для одежды и обуви","Личные аксессуары / Аксессуары для одежды и обуви","Аксессуары для одежды и обуви","20","oasis"
"Профессиональная одежда","Одежда / Профессиональная одежда","Профессиональная одежда","20","midocean"
"Фелти","Коллекции / Серии","Фелти","20","oasis"
"Фоторамки","Для дома / Декор","Фоторамки","20","midocean|oasis"
"Штопоры","Кухня и посуда / Аксессуары для вина","Штопоры","20","oasis"
"Для ручек","Упаковка / Для ручек","Для ручек","19","oasis"
"Для строителей","Деловые подарки / Профессиональные подарки","Для строителей","19","oasis"
"Кофемашины","Кухня и посуда / Аксессуары для чая и кофе","Кофемашины","19","oasis"
"Бокалы","Кухня и посуда / Аксессуары для вина","Бокалы","18","oasis"
"Планар (Planar)","Коллекции / Серии","Планар (Planar)","18","oasis"
"Специи и приправы","Съедобные подарки / Специи и приправы","Специи и приправы","18","oasis"
"Товары для животных","Личные аксессуары / Товары для животных","Товары для животных","18","oasis"
"Подарки для медицинских работников","Профессиональные подарки / Подарки для медицинских работников","Подарки для медицинских работников","17","midocean"
"Разделочные доски","Кухня и посуда / Аксессуары для кухни","Разделочные доски","17","oasis"
"Холодильники для вина","Кухня и посуда / Аксессуары для вина","Холодильники для вина","17","oasis"
"Для нефтяников и шахтеров","Деловые подарки / Профессиональные подарки","Для нефтяников и шахтеров","16","oasis"
"Кофейники","Кухня и посуда / Аксессуары для чая и кофе","Кофейники","16","oasis"
"Очистители воздуха","Для дома / Другое","Очистители воздуха","16","oasis"
"Ретрактор 4hand (серый)","Ретрактор 4hand (серый)","(без подподкатегории)","16","topcatalog"
"Визитницы","Корпоративные подарки|Визитницы","Визитницы","15","art24"
"Маски для лица","Личные аксессуары / Гигиенические средства","Маски для лица","15","oasis"
"Многофункциональные инструменты","Автомобильные аксессуары / Многофункциональные инструменты","Многофункциональные инструменты","15","oasis|topcatalog"
"Открывалки","Кухня и посуда / Аксессуары для алкоголя","Открывалки","15","oasis"
"Зажигалки","Личные аксессуары / Для курения","Зажигалки","14","oasis"
"Козырьки от солнца","Одежда / Головные уборы","Козырьки от солнца","14","oasis"
"Ланч-бокс Cereal to go Green Line с ложкой (салатовый)","Ланч-бокс Cereal to go Green Line с ложкой (салатовый)","(без подподкатегории)","14","topcatalog"
"Личная гигиена","Личная гигиена","uhod","14","midocean"
"Органайзеры","Для дома / Другое","Органайзеры","14","oasis"
"Для медицинских работников","Деловые подарки / Профессиональные подарки","Для медицинских работников","13","oasis"
"Украшения","Для дома / Декор","Украшения","13","oasis"
"Мельницы для соли и перца","Кухня и посуда / Аксессуары для кухни","Мельницы для соли и перца","12","oasis"
"Обвес Standard kit `Red flag` (красный)","Обвес Standard kit `Red flag` (красный)","(без подподкатегории)","12","topcatalog"
"Скребки","Автомобильные аксессуары / Для кузова","Скребки","12","oasis"
"Бытовая техника","Дом|Бытовая техника","Бытовая техника","11","art24"
"Пробки для бутылок","Кухня и посуда / Аксессуары для вина","Пробки для бутылок","11","oasis"
"Чайники","Кухня и посуда / Аксессуары для чая и кофе","Чайники","11","oasis"
"Чехлы и шкатулки для очков","Личные аксессуары / Очки","Чехлы и шкатулки для очков","10","oasis"
"Дистрикт","Коллекции / Серии","Дистрикт","9","oasis"
"Для железнодорожников","Деловые подарки / Профессиональные подарки","Для железнодорожников","9","oasis"
"Емкости для путешествий","Для путешествий / Для самолетов и поездов","Емкости для путешествий","9","oasis"
"Чехлы для одежды","Для путешествий / Для самолетов и поездов","Чехлы для одежды","9","oasis"
"Графины","Кухня и посуда / Посуда","Графины","8","oasis"
"Средства для ухода","Личные аксессуары / Гигиенические средства","Средства для ухода","8","oasis"
"Штофы","Кухня и посуда / Аксессуары для алкоголя","Штофы","8","oasis"
"Вазы","Для дома / Декор","Вазы","7","oasis"
"Для финансистов","Деловые подарки / Профессиональные подарки","Для финансистов","7","oasis"
"Для энергетиков","Деловые подарки / Профессиональные подарки","Для энергетиков","7","oasis"
"Крышки","Элементы кастомизации|Крышки","Крышки","7","art24"
"Парковочные визитки","Автомобильные аксессуары / Для салона","Парковочные визитки","7","oasis"
"Солнцезащитные экраны","Автомобильные аксессуары / Для салона","Солнцезащитные экраны","7","oasis"
"Соломинки для питья","Кухня и посуда / Аксессуары для кухни","Соломинки для питья","7","oasis"
"Тубус для кофера CO12 (серый)","Тубус для кофера CO12 (серый)","(без подподкатегории)","7","topcatalog"
"Вентиляторы","Для дома / Другое","Вентиляторы","6","oasis"
"Дезинфицирующие средства","Личные аксессуары / Гигиенические средства","Дезинфицирующие средства","6","oasis"
"Для работников культуры","Деловые подарки / Профессиональные подарки","Для работников культуры","6","oasis"
"Косметика и аксессуары для бритья","Личные аксессуары / Мужские аксессуары","Косметика и аксессуары для бритья","5","midocean"
"Косметика и аксессуары для бритья","Личные аксессуары / Мужские аксессуары","Аксессуары / Аксессуары для спорта","1","oceangifts"
"Нова","Коллекции / Серии","Нова","6","oasis"
"Посуда","Кухня и посуда / Посуда","Посуда","6","midocean"
"Ремешки на шею","Личные аксессуары / Ремешки на шею","Ремешки на шею","6","oasis"
"Ридия (Reedia)","Коллекции / Серии","Ридия (Reedia)","6","oasis"
"Шейкеры","Кухня и посуда / Аксессуары для алкоголя","Шейкеры","6","oasis"
"Для алкоголя","Упаковка / Для алкоголя","Для алкоголя","5","oasis"
"Подарки для энергетиков","Профессиональные подарки / Подарки для энергетиков","VIP-подарки / Скульптуры","4","oceangifts"
"Подарки для энергетиков","Профессиональные подарки / Подарки для энергетиков","Финальная цена / VIP-подарки","1","oceangifts"
"Фотоальбомы","Интеллектуальные подарки / Фотоальбомы","Финальная цена / VIP-подарки","2","oceangifts"
"Фотоальбомы","Интеллектуальные подарки / Фотоальбомы","Финальная цена / Товары для дома","1","oceangifts"
"Фотоальбомы","Интеллектуальные подарки / Фотоальбомы","Корпоративные подарки / Портмоне","1","oceangifts"
"Фотоальбомы","Для дома / Искусство","Фотоальбомы","1","oasis"
"Аврора","Коллекции / Серии","Аврора","4","oasis"
"Аксессуары для алкоголя","Кухня и посуда / Аксессуары для алкоголя","Финальная цена / VIP-подарки","3","oceangifts"
"Аксессуары для алкоголя","Кухня и посуда / Аксессуары для алкоголя","Распродажа / Аксессуары","1","oceangifts"
"Аксессуары для чая и кофе","Кухня и посуда / Аксессуары для чая и кофе","Подарочные наборы / Наборы для чая и кофе","3","oceangifts"
"Аксессуары для чая и кофе","Кухня и посуда / Аксессуары для чая и кофе","Посуда / Чайные пары","1","oceangifts"
"Весы кухонные","Кухня и посуда / Аксессуары для кухни","Весы кухонные","4","oasis"
"Для кружек","Упаковка / Для кружек","Для кружек","4","oasis"
"Композиции","Для дома / Искусство","Композиции","4","oasis"
"Подарки в русском стиле","Подарки в русском стиле","chasy","4","oceangifts"
"Скульптуры","Скульптуры | Дом / Скульптуры","Дом / Скульптуры","4","oceangifts"
"Таблетницы","Личные аксессуары / Таблетницы","Таблетницы","4","oasis"
"Украшения мужские","Мужские аксессуары / Украшения мужские","Украшения мужские","4","oasis"
"Авоськи, чехлы, холдеры","Элементы кастомизации|Авоськи, чехлы, холдеры","Авоськи, чехлы, холдеры","3","art24"
"Аксессуары для курения","Личные аксессуары / Аксессуары для курения","Аксессуары / Аксессуары для курения","1","oceangifts"
"Аксессуары для курения","Личные аксессуары / Аксессуары для курения","Распродажа / Аксессуары","1","oceangifts"
"Аксессуары для курения","Личные аксессуары / Аксессуары для курения","Дом / Кухонные аксессуары","1","oceangifts"
"Блендеры","Кухня и посуда / Аксессуары для кухни","Блендеры","3","oasis"
"Для безопасности детей","Товары для детей / Для безопасности детей","Для безопасности детей","3","oasis"
"Для работников авиации","Деловые подарки / Профессиональные подарки","Для работников авиации","3","oasis"
"Кодовые замки","Для путешествий / Для самолетов и поездов","Кодовые замки","3","oasis"
"Ложки","Кухня и посуда / Аксессуары для кухни","Ложки","3","oasis"
"Прихватки и щипцы","Кухня и посуда / Аксессуары для кухни","Прихватки и щипцы","3","oasis"
"Расчески","Личные аксессуары / Гигиенические средства","Расчески","3","oasis"
"Сервизы","Кухня и посуда / Посуда","Костеры","3","art24"
"Сигнальная одежда","Одежда / Профессиональная одежда","Сигнальная одежда","3","oceangifts"
"Ситечки","Кухня и посуда / Аксессуары для чая и кофе","Ситечки","3","oasis"
"Увлажнители","Для дома / Другое","Увлажнители","3","oasis"
"Чехлы для галстуков","Мужские аксессуары / Одежда","Чехлы для галстуков","3","oasis"
"Шильды","Деловые подарки / Шильды","Шильды","3","oasis"
"Аксессуары для дома","Аксессуары для дома","Аксессуары для зонтов","2","art24"
"Аксессуары для торпеды и приборной панели","Автомобильные аксессуары / Для салона","Аксессуары для торпеды и приборной панели","2","oasis"
"Аэраторы и декантеры","Кухня и посуда / Аксессуары для вина","Аэраторы и декантеры","2","oasis"
"Блюда и подносы","Кухня и посуда / Посуда","Блюда и подносы","2","oasis"
"Для моряков","Деловые подарки / Профессиональные подарки","Для моряков","2","oasis"
"Домино WIN-WIN (черный с золотом)","Домино WIN-WIN (черный с золотом)","(без подподкатегории)","2","topcatalog"
"Дорожные портмоне","Для путешествий / Аксессуары для путешествий","Дорожные портмоне","2","oasis"
"Зажимы для денег","Мужские аксессуары / Портмоне","Зажимы для денег","2","oasis"
"Крючки для сумок","Женские аксессуары / Крючки для сумок","Крючки для сумок","2","oasis"
"Мышь компьютерная с сенсорным скроллом Sensation (белый)","Мышь компьютерная с сенсорным скроллом Sensation (белый)","(без подподкатегории)","2","topcatalog"
"Органайзеры для кухни","Кухня и посуда / Аксессуары для кухни","Органайзеры для кухни","2","oasis"
"Предметы интерьера","Аксессуары для дома / Предметы интерьера","Распродажа / Подарки для Женщин","1","oceangifts"
"Предметы интерьера","Аксессуары для дома / Предметы интерьера","Предметы интерьера","1","oceangifts"
"Продовольственные товары","Корпоративные подарки|Продовольственные товары","Продовольственные товары","2","art24"
"Термометры","Кухня и посуда / Аксессуары для кухни","Термометры","2","oasis"
"Товары для лета","Коллекции / Товары для лета","Товары для лета","2","oasis"
"Шкатулки и подставки","Женские аксессуары / Украшения","Дом / Шкатулки","1","oceangifts"
"Шкатулки и подставки","Женские аксессуары / Украшения","Шкатулки и подставки","1","oasis"
"Весы для багажа","Для путешествий / Для самолетов и поездов","Весы для багажа","1","oasis"
"Галстуки","Мужские аксессуары / Одежда","Галстуки","1","oasis"
"Защита здоровья","Защита здоровья","zashhita-zdorovya","1","oceangifts"
"Картины","Подарки в русском стиле / Картины","Дом / Картины","1","oceangifts"
"Карты","Для дома / Искусство","Карты","1","oasis"
"Книги","Для дома / Искусство","Книги","1","oasis"
"Одежда для пищевого производства","Одежда / Профессиональная одежда","Одежда для пищевого производства","1","oceangifts"
"Органайзеры, портмоне","Корпоративные подарки|Органайзеры, портмоне","Органайзеры, портмоне","1","art24"
"Пепельницы","Личные аксессуары / Для курения","Пепельницы","1","oasis"
"Подставки для бутылок","Кухня и посуда / Посуда","Подставки для бутылок","1","oasis"
"Подставки для кухни","Кухня и посуда / Аксессуары для кухни","Подставки для кухни","1","oasis"
"Расходные материалы","Расходные материалы","(без подподкатегории)","1","oasis"
"Ремни","Мужские аксессуары / Одежда","Ремни","1","oasis"
"Рукавицы","Кухня и посуда / Аксессуары для кухни","Распродажа / Аксессуары","1","oceangifts"
"Сковороды","Кухня и посуда / Посуда","Сковороды","1","oasis"
"Увлажнители и диспенсеры","Увлажнители воздуха | Здоровье / Увлажнители и диспенсеры","Здоровье / Увлажнители и диспенсеры","1","oceangifts"
"Фигурки","Для дома / Искусство","Фигурки","1","oasis"
"Хьюмидоры","Личные аксессуары / Для курения","Хьюмидоры","1","oasis"